Product,Rating,MRP,Offer_Price,Discount,Reviews,Brand,Discounted_Price
boAt Airdopes 411ANC with upto 17.5 Hours Playback and ...,3.9,4990.0,2499.0,49% off,"(16,590)",boAt,2491.0
FINGER THREE Premium M19 tws bluetooth 5.0 wireless Dig...,3.4,6888.0,664.0,90% off,(343),FINGER,6224.0
Mivi DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,3.8,2999.0,899.0,70% off,"(97,578)",Mivi,2100.0
Kabeer enterprises TWS-I12 Twins Bluetooth Wireless Hea...,4.4,1599.0,449.0,71% off,(5),Kabeer,1150.0
Tunifi Earbuds T-2 PRO with ASAP Charge Bluetooth Heads...,3.9,4499.0,699.0,84% off,(90),Tunifi,3800.0
"Home Story Black TWS V5.1, True Wireless Earbuds with F...",4,1999.0,599.0,70% off,(44),Home,1400.0
"Mivi DuoPods F70 ENC with Quad Mic, 50+ Hrs Playtime| M...",4.1,2999.0,1499.0,50% off,"(38,219)",Mivi,1500.0
"BHAVISHU I7s WITH SMALL SIZE, SUPER LIGHTWEIGHT Bluetoo...",3,1999.0,375.0,81% off,(5),BHAVISHU,1624.0
"ORAIMO FreePods Pro TWS Earbuds with ANC ,43Hrs Playtim...",4.2,11999.0,2799.0,76% off,"(3,128)",ORAIMO,9200.0
"Noise Beads with 18hrs of playtime, HyperSync, IPX5 and...",4,3499.0,1499.0,57% off,"(6,037)",Noise,2000.0
"PTron Basspods P11, 24Hrs Playback, 10mm Driver, MovieM...",3.8,2999.0,753.0,74% off,"(3,024)",PTron,2246.0
Tunifi Earbuds F9 Pro Upto 48 Hours Playback with Power...,4,4999.0,699.0,86% off,(105),Tunifi,4300.0
Aroma NB140 Fabulous 24 Hours* Playtime | Deep Bass | M...,3.8,1999.0,699.0,65% off,"(1,665)",Aroma,1300.0
Earboss F-9 Earbuds with 2000 mAh Power Bank & ASAP Cha...,3.6,7999.0,699.0,91% off,"(2,505)",Earboss,7300.0
Wings Phantom 500 Godlike Earbuds with Low latency Game...,4,4999.0,1299.0,74% off,"(5,109)",Wings,3700.0
deamflum L-21 with ASAP Charge Bluetooth Headset,3.7,2999.0,510.0,82% off,(141),deamflum,2489.0
flying india Premium TWS L21 True HIFI Bluetooth Earbud...,4.2,2199.0,474.0,78% off,(5),flying,1725.0
"Noise Buds VS102 Plus with 70 Hours Playtime, Instachar...",4,3999.0,1599.0,60% off,"(24,529)",Noise,2400.0
Mivi DuoPods M30 earbuds with 42 hours of playtime | Ma...,3.7,2999.0,1199.0,60% off,"(66,145)",Mivi,1800.0
